epoch,Acc,Loss,Error,LR,model
0,0.5059,0.9879,,0.2,densenet
1,0.5126,0.7658,,0.2,densenet
2,0.568,0.7219,,0.2,densenet
3,0.5817,0.7102,,0.2,densenet
4,0.6116,0.6812,,0.2,densenet
5,0.631,0.653,,0.2,densenet
6,0.6387,0.6464,,0.2,densenet
7,0.7055,0.5647,,0.2,densenet
8,0.7051,0.5557,,0.2,densenet
9,0.7079,0.5597,,0.2,densenet
10,0.7118,0.5549,,0.2,densenet
11,0.7214,0.5474,,0.2,densenet
12,0.7216,0.5445,,0.2,densenet
13,0.7198,0.5451,,0.2,densenet
14,0.7226,0.5399,,0.2,densenet
15,0.7169,0.5498,,0.2,densenet
16,0.7212,0.538,,0.2,densenet
17,0.7259,0.5318,,0.2,densenet
18,0.7244,0.5364,,0.2,densenet
19,0.7228,0.5365,,0.2,densenet
20,0.7337,0.5315,,0.2,densenet
21,0.7158,0.5456,,0.2,densenet
22,0.7184,0.5373,,0.2,densenet
23,0.7231,0.5359,,0.2,densenet
0,0.5008,0.9495,,0.1,densenet
1,0.5058,0.7621,,0.1,densenet
2,0.5186,0.7263,,0.1,densenet
3,0.5181,0.7159,,0.1,densenet
4,0.5441,0.7055,,0.1,densenet
5,0.5636,0.6919,,0.1,densenet
6,0.5919,0.6719,,0.1,densenet
7,0.6446,0.6272,,0.1,densenet
8,0.6531,0.6205,,0.1,densenet
9,0.6702,0.607,,0.1,densenet
10,0.69,0.5914,,0.1,densenet
11,0.683,0.5919,,0.1,densenet
12,0.7,0.5833,,0.1,densenet
13,0.7012,0.576,,0.1,densenet
14,0.7147,0.5612,,0.1,densenet
15,0.7185,0.5599,,0.1,densenet
16,0.7187,0.5563,,0.1,densenet
17,0.7216,0.5501,,0.1,densenet
18,0.7254,0.548,,0.1,densenet
19,0.7284,0.5438,,0.1,densenet
20,0.7331,0.543,,0.1,densenet
21,0.733,0.5435,,0.1,densenet
22,0.7344,0.5415,,0.1,densenet
23,0.7296,0.5401,,0.1,densenet
0,0.516,1.0254,,0.01,densenet
1,0.5423,0.7826,,0.01,densenet
2,0.5842,0.6722,,0.01,densenet
3,0.6151,0.6432,,0.01,densenet
4,0.6396,0.63,,0.01,densenet
5,0.653,0.6155,,0.01,densenet
6,0.6691,0.6027,,0.01,densenet
7,0.7201,0.5527,,0.01,densenet
8,0.7341,0.5333,,0.01,densenet
9,0.7468,0.5195,,0.01,densenet
10,0.7533,0.5095,,0.01,densenet
11,0.7647,0.4951,,0.01,densenet
12,0.7747,0.4864,,0.01,densenet
13,0.7794,0.4764,,0.01,densenet
14,0.7866,0.4675,,0.01,densenet
15,0.7916,0.462,,0.01,densenet
16,0.7942,0.4565,,0.01,densenet
17,0.7922,0.4553,,0.01,densenet
18,0.7959,0.4591,,0.01,densenet
19,0.7964,0.4526,,0.01,densenet
20,0.7982,0.4539,,0.01,densenet
21,0.7956,0.4523,,0.01,densenet
22,0.8045,0.4427,,0.01,densenet
23,0.7963,0.4539,,0.01,densenet
0,0.6988,0.597,,0.001,densenet
1,0.7842,0.4727,,0.001,densenet
2,0.7988,0.4451,,0.001,densenet
3,0.8056,0.4313,,0.001,densenet
4,0.8156,0.4137,,0.001,densenet
5,0.8312,0.3928,,0.001,densenet
6,0.8334,0.3846,,0.001,densenet
7,0.8488,0.3462,,0.001,densenet
8,0.8586,0.3291,,0.001,densenet
9,0.8611,0.3219,,0.001,densenet
10,0.8639,0.3187,,0.001,densenet
11,0.8657,0.3194,,0.001,densenet
12,0.8602,0.3193,,0.001,densenet
13,0.8646,0.3167,,0.001,densenet
14,0.8669,0.3125,,0.001,densenet
15,0.8729,0.3042,,0.001,densenet
16,0.8699,0.3094,,0.001,densenet
17,0.872,0.3021,,0.001,densenet
18,0.8705,0.3097,,0.001,densenet
19,0.87,0.3072,,0.001,densenet
20,0.8745,0.2965,,0.001,densenet
21,0.8694,0.3058,,0.001,densenet
22,0.8657,0.3162,,0.001,densenet
23,0.876,0.3003,,0.001,densenet
0,0.7048,0.5914,,0.0009,densenet
1,0.7771,0.4806,,0.0009,densenet
2,0.788,0.4578,,0.0009,densenet
3,0.8037,0.4283,,0.0009,densenet
4,0.8137,0.4212,,0.0009,densenet
5,0.8208,0.4055,,0.0009,densenet
6,0.8293,0.3927,,0.0009,densenet
7,0.8462,0.3511,,0.0009,densenet
8,0.8568,0.3348,,0.0009,densenet
9,0.852,0.3373,,0.0009,densenet
10,0.856,0.332,,0.0009,densenet
11,0.8607,0.3215,,0.0009,densenet
12,0.864,0.3154,,0.0009,densenet
13,0.8632,0.3204,,0.0009,densenet
14,0.8678,0.3124,,0.0009,densenet
15,0.8695,0.3102,,0.0009,densenet
16,0.8646,0.3132,,0.0009,densenet
17,0.8676,0.3111,,0.0009,densenet
18,0.8646,0.3162,,0.0009,densenet
19,0.8683,0.3113,,0.0009,densenet
20,0.866,0.3134,,0.0009,densenet
21,0.8709,0.3099,,0.0009,densenet
22,0.8677,0.3099,,0.0009,densenet
23,0.8623,0.3159,,0.0009,densenet
0,0.6412,0.6876,,0.0009,resnet-18
1,0.7416,0.5279,,0.0009,resnet-18
2,0.7758,0.4842,,0.0009,resnet-18
3,0.7931,0.4501,,0.0009,resnet-18
4,0.8044,0.4305,,0.0009,resnet-18
5,0.8054,0.4359,,0.0009,resnet-18
6,0.8102,0.4261,,0.0009,resnet-18
7,0.8307,0.3842,,0.0009,resnet-18
8,0.8411,0.363,,0.0009,resnet-18
9,0.8399,0.3685,,0.0009,resnet-18
10,0.8379,0.3669,,0.0009,resnet-18
11,0.8481,0.353,,0.0009,resnet-18
12,0.8475,0.3549,,0.0009,resnet-18
13,0.8475,0.3538,,0.0009,resnet-18
14,0.8519,0.3409,,0.0009,resnet-18
15,0.8479,0.3491,,0.0009,resnet-18
16,0.8509,0.3422,,0.0009,resnet-18
17,0.8481,0.349,,0.0009,resnet-18
18,0.8488,0.3465,,0.0009,resnet-18
19,0.852,0.3431,,0.0009,resnet-18
20,0.8566,0.3345,,0.0009,resnet-18
21,0.8503,0.3462,,0.0009,resnet-18
22,0.853,0.3433,,0.0009,resnet-18
23,0.8585,0.3354,,0.0009,resnet-18
0,0.6151,0.7465,,0.001,resnet-18
1,0.7187,0.5753,,0.001,resnet-18
2,0.7574,0.5124,,0.001,resnet-18
3,0.7851,0.4698,,0.001,resnet-18
4,0.8005,0.4461,,0.001,resnet-18
5,0.8121,0.4266,,0.001,resnet-18
6,0.8084,0.4317,,0.001,resnet-18
7,0.821,0.4016,,0.001,resnet-18
8,0.8395,0.3685,,0.001,resnet-18
9,0.8356,0.3738,,0.001,resnet-18
10,0.8366,0.374,,0.001,resnet-18
11,0.8461,0.3579,,0.001,resnet-18
12,0.8448,0.3639,,0.001,resnet-18
13,0.8446,0.3592,,0.001,resnet-18
14,0.8493,0.354,,0.001,resnet-18
15,0.8529,0.3454,,0.001,resnet-18
16,0.8504,0.3485,,0.001,resnet-18
17,0.8444,0.3576,,0.001,resnet-18
18,0.8436,0.357,,0.001,resnet-18
19,0.8497,0.3487,,0.001,resnet-18
20,0.8434,0.3583,,0.001,resnet-18
21,0.8453,0.3537,,0.001,resnet-18
22,0.8464,0.3514,,0.001,resnet-18
23,0.8476,0.3512,,0.001,resnet-18
0,0.5193,0.9742,,0.01,resnet-18
1,0.5404,0.69,,0.01,resnet-18
2,0.5838,0.6621,,0.01,resnet-18
3,0.6292,0.6289,,0.01,resnet-18
4,0.6578,0.6035,,0.01,resnet-18
5,0.6784,0.5912,,0.01,resnet-18
6,0.6961,0.5727,,0.01,resnet-18
7,0.7353,0.5261,,0.01,resnet-18
8,0.7457,0.513,,0.01,resnet-18
9,0.7501,0.5035,,0.01,resnet-18
10,0.7491,0.5078,,0.01,resnet-18
11,0.7585,0.4948,,0.01,resnet-18
12,0.7732,0.4771,,0.01,resnet-18
13,0.7846,0.4467,,0.01,resnet-18
14,0.7775,0.4722,,0.01,resnet-18
15,0.7814,0.4714,,0.01,resnet-18
16,0.7821,0.4704,,0.01,resnet-18
17,0.7857,0.461,,0.01,resnet-18
18,0.789,0.4563,,0.01,resnet-18
19,0.7863,0.4581,,0.01,resnet-18
20,0.7841,0.4637,,0.01,resnet-18
21,0.79,0.4566,,0.01,resnet-18
